#sex: 1=female and 0=male
#survived class sex age fare cabin
1,1,1,29,211.3375,B5
1,1,0,0.9167,151.55,C22C26
0,1,1,2,151.55,C22C26
0,1,0,30,151.55,C22C26
0,1,1,25,151.55,C22C26
1,1,0,48,26.55,E12
1,1,1,63,77.9583,D7
0,1,0,39,0.0,A36
1,1,1,53,51.4792,C101
0,1,0,71,49.5042,N
0,1,0,47,227.525,C62C64
1,1,1,18,227.525,C62C64
1,1,1,24,69.3,B35
1,1,1,26,78.85,N
1,1,0,80,30.0,A23
0,1,0,N,25.925,N
0,1,0,24,247.5208,B58B60
1,1,1,50,247.5208,B58B60
1,1,1,32,76.2917,D15
0,1,0,36,75.2417,C6
1,1,0,37,52.5542,D35
1,1,1,47,52.5542,D35
1,1,0,26,30.0,C148
1,1,1,42,227.525,N
1,1,1,29,221.7792,C97
0,1,0,25,26.0,N
1,1,0,25,91.0792,B49
1,1,1,19,91.0792,B49
1,1,1,35,135.6333,C99
1,1,0,28,26.55,C52
0,1,0,45,35.5,T
1,1,0,40,31.0,A31
1,1,1,30,164.8667,C7
1,1,1,58,26.55,C103
0,1,0,42,26.55,D22
1,1,1,45,262.375,N
1,1,1,22,55.0,E33
1,1,0,N,26.55,N
0,1,0,41,30.5,A21
0,1,0,48,50.4958,B10
0,1,0,N,39.6,N
1,1,1,44,27.7208,B4
1,1,1,59,51.4792,C101
1,1,1,60,76.2917,D15
1,1,1,41,134.5,E40
0,1,0,45,26.55,B38
0,1,0,N,31.0,N
1,1,0,42,26.2875,E24
1,1,1,53,27.4458,N
1,1,0,36,512.3292,B51B53B55
1,1,1,58,512.3292,B51B53B55
0,1,0,33,5.0,B51B53B55
0,1,0,28,47.1,N
0,1,0,17,47.1,N
1,1,0,11,120.0,B96B98
1,1,1,14,120.0,B96B98
1,1,0,36,120.0,B96B98
1,1,1,36,120.0,B96B98
0,1,0,49,26.0,N
1,1,1,N,27.7208,N
0,1,0,36,78.85,C46
1,1,1,76,78.85,C46
0,1,0,46,61.175,E31
1,1,1,47,61.175,E31
1,1,0,27,53.1,E8
1,1,1,33,53.1,E8
1,1,1,36,262.375,B61
1,1,1,30,86.5,B77
1,1,0,45,29.7,A9
1,1,1,N,55.0,E33
0,1,0,N,0.0,N
0,1,0,27,136.7792,C89
1,1,1,26,136.7792,C89
1,1,1,22,151.55,N
0,1,0,N,52.0,A14
0,1,0,47,25.5875,E58
1,1,1,39,83.1583,E49
0,1,0,37,83.1583,E52
1,1,1,64,83.1583,E45
1,1,1,55,25.7,C101
0,1,0,N,26.55,N
0,1,0,70,71.0,B22
1,1,1,36,71.0,B22
1,1,1,64,26.55,B26
0,1,0,39,71.2833,C85
1,1,1,38,71.2833,C85
1,1,0,51,26.55,E17
1,1,0,27,30.5,N
1,1,1,33,151.55,N
0,1,0,31,52.0,B71
1,1,1,27,52.0,B71
1,1,0,31,57.0,B20
1,1,1,17,57.0,B20
1,1,0,53,81.8583,A34
1,1,0,4,81.8583,A34
1,1,1,54,81.8583,A34
0,1,0,50,106.425,C86
1,1,1,27,247.5208,B58B60
1,1,1,48,106.425,C86
1,1,1,48,39.6,A16
1,1,0,49,56.9292,A20
0,1,0,39,29.7,A18
1,1,1,23,83.1583,C54
1,1,1,38,227.525,C45
1,1,1,54,78.2667,D20
0,1,1,36,31.6792,A29
0,1,0,N,221.7792,C95
1,1,1,N,31.6833,N
1,1,1,N,110.8833,N
1,1,0,36,26.3875,E25
0,1,0,30,27.75,C111
1,1,1,24,263.0,C23C25C27
1,1,1,28,263.0,C23C25C27
1,1,1,23,263.0,C23C25C27
0,1,0,19,263.0,C23C25C27
0,1,0,64,263.0,C23C25C27
1,1,1,60,263.0,C23C25C27
1,1,1,30,56.9292,E36
0,1,0,N,26.55,D34
1,1,0,50,133.65,N
1,1,0,43,27.7208,D40
1,1,1,N,133.65,N
1,1,1,22,49.5,B39
1,1,0,60,79.2,B41
1,1,1,48,79.2,B41
0,1,0,N,0.0,B102
0,1,0,37,53.1,C123
1,1,1,35,53.1,C123
0,1,0,47,38.5,E63
1,1,1,35,211.5,C130
1,1,1,22,59.4,N
1,1,1,45,59.4,N
0,1,0,24,79.2,B86
1,1,0,49,89.1042,C92
1,1,1,N,89.1042,C92
0,1,0,71,34.6542,A5
1,1,0,53,28.5,C51
1,1,1,19,30.0,B42
0,1,0,38,153.4625,C91
1,1,1,58,153.4625,C125
1,1,0,23,63.3583,D10D12
1,1,1,45,63.3583,D10D12
0,1,0,46,79.2,B82B84
1,1,0,25,55.4417,E50
1,1,1,25,55.4417,E50
1,1,0,48,76.7292,D33
1,1,1,49,76.7292,D33
0,1,0,N,42.4,N
0,1,0,45,83.475,C83
